case_id,tooth_id,total_expected,total_present,ratio,ratio_floor,margin_floor,margin_p20,margin_mean,presence_floor,presence_prob,forced,missing,fail_reasons
003,t11,7,7,1.0,0.7,0.55,0.5174040198326111,0.5583868026733398,0.25,1.0,True,False,margin
003,t12,7,7,1.0,0.7,0.55,0.5183451175689697,0.5595352053642273,0.25,1.0,True,False,margin
003,t13,5,5,1.0,0.7,0.55,0.5116993188858032,0.531126856803894,0.25,1.0,True,False,margin
003,t14,9,9,1.0,0.7,0.55,0.5462563633918762,0.5876014232635498,0.25,1.0,True,False,margin
003,t15,9,9,1.0,0.7,0.55,0.5359963774681091,0.5737172365188599,0.25,1.0,True,False,margin
003,t16,12,12,1.0,0.7,0.55,0.5178094506263733,0.5908928513526917,0.25,1.0,True,False,margin
003,t17,12,12,1.0,0.7,0.55,0.5454356074333191,0.6173849701881409,0.25,1.0,True,False,margin
003,t21,7,7,1.0,0.7,0.55,0.5221816301345825,0.5891643762588501,0.25,1.0,True,False,margin
003,t22,7,7,1.0,0.7,0.55,0.5134609937667847,0.5458962321281433,0.25,1.0,True,False,margin
003,t23,5,5,1.0,0.7,0.55,0.5388972163200378,0.5624161958694458,0.25,1.0,True,False,margin
003,t24,9,9,1.0,0.7,0.55,0.5129601955413818,0.5760700702667236,0.25,1.0,True,False,margin
003,t25,9,9,1.0,0.7,0.55,0.5475608110427856,0.5869922041893005,0.25,1.0,True,False,margin
003,t26,12,12,1.0,0.7,0.55,0.5215246081352234,0.5696075558662415,0.25,1.0,True,False,margin
003,t27,12,12,1.0,0.6,0.48,0.5172651410102844,0.5824739336967468,0.25,1.0,False,False,
003,t31,7,7,1.0,0.7,0.55,0.5106759071350098,0.5377857685089111,0.25,1.0,True,False,margin
003,t32,7,7,1.0,0.7,0.55,0.5186706781387329,0.5709405541419983,0.25,1.0,True,False,margin
003,t33,5,5,1.0,0.7,0.55,0.5369434952735901,0.5876220464706421,0.25,1.0,True,False,margin
003,t34,9,9,1.0,0.7,0.55,0.5248870253562927,0.5923993587493896,0.25,1.0,True,False,margin
003,t35,9,9,1.0,0.7,0.55,0.5114350914955139,0.5773475170135498,0.25,1.0,True,False,margin
003,t36,12,12,1.0,0.7,0.55,0.5415545105934143,0.5854125022888184,0.25,1.0,True,False,margin
003,t37,12,12,1.0,0.6,0.48,0.5192120671272278,0.5492661595344543,0.25,1.0,False,False,
003,t41,7,7,1.0,0.7,0.55,0.5202869176864624,0.5469768643379211,0.25,1.0,True,False,margin
003,t42,7,7,1.0,0.7,0.55,0.5283267498016357,0.5721436738967896,0.25,1.0,True,False,margin
003,t43,5,5,1.0,0.7,0.55,0.5175188779830933,0.555084228515625,0.25,1.0,True,False,margin
003,t44,9,9,1.0,0.7,0.55,0.5199921131134033,0.5549848675727844,0.25,1.0,True,False,margin
003,t45,9,9,1.0,0.7,0.55,0.5231293439865112,0.5806393623352051,0.25,1.0,True,False,margin
003,t46,12,12,1.0,0.7,0.55,0.5320150852203369,0.5897731781005859,0.25,1.0,True,False,margin
003,t47,12,12,1.0,0.6,0.48,0.5341164469718933,0.59840327501297,0.25,1.0,False,False,
