epoch,train_loss,val_loss,val_dsc,val_dsc_perm,val_sen,val_ppv,lr
1,2.725907,3.016232,0.034981,0.034981,0.066667,0.023711,1.000000e-02
10,0.409425,0.434980,0.989051,0.989051,0.989905,0.988503,1.000000e-02
20,0.366274,0.367235,1.000000,1.000000,1.000000,1.000000,1.000000e-02
30,0.364013,0.364109,1.000000,1.000000,1.000000,1.000000,1.000000e-02
40,0.363644,0.363659,1.000000,1.000000,1.000000,1.000000,1.000000e-02
50,0.363507,0.363512,1.000000,1.000000,1.000000,1.000000,1.000000e-02
60,0.363435,0.363438,1.000000,1.000000,1.000000,1.000000,1.000000e-02
70,0.363389,0.363392,1.000000,1.000000,1.000000,1.000000,1.000000e-02
80,0.363357,0.363358,1.000000,1.000000,1.000000,1.000000,1.000000e-02
90,0.363334,0.363334,1.000000,1.000000,1.000000,1.000000,1.000000e-02
100,0.363316,0.363317,1.000000,1.000000,1.000000,1.000000,1.000000e-02
110,0.363302,0.363303,1.000000,1.000000,1.000000,1.000000,1.000000e-02
120,0.363291,0.363291,1.000000,1.000000,1.000000,1.000000,1.000000e-02
130,0.363281,0.363282,1.000000,1.000000,1.000000,1.000000,1.000000e-02
140,0.363274,0.363274,1.000000,1.000000,1.000000,1.000000,1.000000e-02
150,0.363267,0.363267,1.000000,1.000000,1.000000,1.000000,1.000000e-02
160,0.363261,0.363261,1.000000,1.000000,1.000000,1.000000,1.000000e-02
170,0.363256,0.363257,1.000000,1.000000,1.000000,1.000000,1.000000e-02
180,0.363252,0.363252,1.000000,1.000000,1.000000,1.000000,1.000000e-02
190,0.363249,0.363249,1.000000,1.000000,1.000000,1.000000,1.000000e-02
200,0.363245,0.363245,1.000000,1.000000,1.000000,1.000000,1.000000e-02
